0 0.0198007  0.00826928 0.0100472 0.012025
0.01 0.0392073  0.0163734 0.0198933 0.0238085
0.02 0.0582257  0.0243141 0.0295401 0.0353519
0.03 0.0768619  0.0320933 0.0389894 0.0466569
0.04 0.0951214  0.0397127 0.0482431 0.0577247
0.05 0.11301  0.0471742 0.0573029 0.068557
0.06 0.130533  0.0544795 0.0661706 0.0791553
0.07 0.147696  0.0616303 0.0748481 0.0895209
0.08 0.164505  0.0686285 0.0833371 0.0996555
0.09 0.180965  0.0754757 0.0916394 0.109561
0.1 0.19708  0.0821737 0.0997567 0.119238
0.11 0.212858  0.0887241 0.107691 0.128688
0.12 0.228301  0.0951287 0.115444 0.137914
0.13 0.243417  0.101389 0.123016 0.146916
0.14 0.258209  0.107507 0.130411 0.155697
0.15 0.272682  0.113484 0.13763 0.164257
0.16 0.286842  0.119321 0.144674 0.172599
0.17 0.300693  0.125021 0.151546 0.180724
0.18 0.31424  0.130585 0.158246 0.188633
0.19 0.327488  0.136014 0.164776 0.196328
0.2 0.340441  0.141311 0.171139 0.203811
0.21 0.353103  0.146476 0.177336 0.211084
0.22 0.365481  0.151511 0.183368 0.218147
0.23 0.377576  0.156417 0.189238 0.225003
0.24 0.389395  0.161197 0.194946 0.231654
0.25 0.400942  0.165852 0.200495 0.2381
0.26 0.41222  0.170383 0.205886 0.244344
0.27 0.423234  0.174791 0.211121 0.250387
0.28 0.433987  0.179079 0.216201 0.256231
0.29 0.444485  0.183247 0.221127 0.261878
0.3 0.454732  0.187297 0.225903 0.267328
0.31 0.46473  0.19123 0.230529 0.272585
0.32 0.474484  0.195048 0.235006 0.277649
0.33 0.483998  0.198753 0.239336 0.282522
0.34 0.493276  0.202345 0.243522 0.287206
0.35 0.502321  0.205826 0.247564 0.291703
0.36 0.511138  0.209197 0.251463 0.296014
0.37 0.519729  0.21246 0.255223 0.300142
0.38 0.528099  0.215615 0.258843 0.304086
0.39 0.53625  0.218666 0.262326 0.307851
0.4 0.544187  0.221611 0.265672 0.311436
0.41 0.551914  0.224454 0.268885 0.314844
0.42 0.559432  0.227195 0.271964 0.318077
0.43 0.566746  0.229835 0.274912 0.321136
0.44 0.57386  0.232376 0.27773 0.324023
0.45 0.580775  0.234819 0.280419 0.32674
0.46 0.587496  0.237165 0.282982 0.329289
0.47 0.594026  0.239415 0.285419 0.33167
0.48 0.600368  0.241572 0.287731 0.333886
0.49 0.606525  0.243635 0.289921 0.33594
0.5 0.6125  0.245606 0.29199 0.337831
0.51 0.618296  0.247486 0.293939 0.339563
0.52 0.623916  0.249277 0.295769 0.341136
0.53 0.629363  0.250979 0.297482 0.342553
0.54 0.63464  0.252594 0.29908 0.343816
0.55 0.639749  0.254123 0.300564 0.344926
0.56 0.644694  0.255567 0.301934 0.345884
0.57 0.649477  0.256927 0.303194 0.346693
0.58 0.654101  0.258204 0.304343 0.347355
0.59 0.658569  0.259399 0.305383 0.34787
0.6 0.662883  0.260514 0.306316 0.348242
0.61 0.667046  0.261549 0.307143 0.348471
0.62 0.671061  0.262506 0.307866 0.348559
0.63 0.67493  0.263385 0.308484 0.348509
0.64 0.678655  0.264188 0.309001 0.348321
0.65 0.682239  0.264916 0.309418 0.347998
0.66 0.685685  0.265569 0.309734 0.347541
0.67 0.688995  0.266149 0.309953 0.346953
0.68 0.692171  0.266657 0.310075 0.346234
0.69 0.695215  0.267094 0.310101 0.345387
0.7 0.698131  0.26746 0.310033 0.344413
0.71 0.700919  0.267757 0.309872 0.343314
0.72 0.703583  0.267985 0.309619 0.342092
0.73 0.706125  0.268147 0.309276 0.340749
0.74 0.708546  0.268241 0.308843 0.339285
0.75 0.710849  0.268271 0.308323 0.337704
0.76 0.713037  0.268236 0.307716 0.336007
0.77 0.71511  0.268137 0.307023 0.334195
0.78 0.717072  0.267975 0.306246 0.332271
0.79 0.718923  0.267752 0.305385 0.330235
0.8 0.720667  0.267468 0.304443 0.32809
0.81 0.722305  0.267123 0.30342 0.325838
0.82 0.723839  0.26672 0.302318 0.323479
0.83 0.725271  0.266258 0.301137 0.321017
0.84 0.726603  0.265739 0.299879 0.318452
0.85 0.727836  0.265164 0.298544 0.315786
0.86 0.728973  0.264533 0.297135 0.313021
0.87 0.730016  0.263846 0.295653 0.310159
0.88 0.730965  0.263106 0.294097 0.307201
0.89 0.731823  0.262313 0.29247 0.30415
0.9 0.732592  0.261467 0.290773 0.301006
0.91 0.733273  0.26057 0.289007 0.297771
0.92 0.733868  0.259622 0.287172 0.294448
0.93 0.734379  0.258624 0.285271 0.291038
0.94 0.734807  0.257577 0.283303 0.287542
0.95 0.735153  0.256482 0.281271 0.283962
0.96 0.73542  0.255338 0.279175 0.2803
0.97 0.735609  0.254148 0.277016 0.276557
0.98 0.735721  0.252912 0.274796 0.272736
0.99 0.735758  0.25163 0.272515 0.268837
1 0.735722  0.250304 0.270175 0.264863
1.01 0.735613  0.248934 0.267776 0.260815
1.02 0.735434  0.247521 0.26532 0.256695
1.03 0.735185  0.246065 0.262808 0.252504
1.04 0.734869  0.244567 0.26024 0.248244
1.05 0.734486  0.243028 0.257618 0.243917
1.06 0.734038  0.241449 0.254942 0.239524
1.07 0.733526  0.239831 0.252214 0.235066
1.08 0.732952  0.238173 0.249435 0.230547
1.09 0.732317  0.236477 0.246606 0.225966
1.1 0.731621  0.234743 0.243727 0.221326
1.11 0.730867  0.232972 0.2408 0.216627
1.12 0.730056  0.231165 0.237825 0.211873
1.13 0.729188  0.229322 0.234804 0.207064
1.14 0.728266  0.227445 0.231738 0.202202
1.15 0.727289  0.225532 0.228627 0.197288
1.16 0.72626  0.223586 0.225472 0.192325
1.17 0.725179  0.221607 0.222275 0.187313
1.18 0.724048  0.219595 0.219036 0.182254
1.19 0.722868  0.217552 0.215756 0.177149
1.2 0.721639  0.215476 0.212436 0.172001
1.21 0.720363  0.213371 0.209077 0.16681
1.22 0.719042  0.211235 0.205681 0.161579
1.23 0.717675  0.209069 0.202247 0.156308
1.24 0.716264  0.206874 0.198776 0.150999
1.25 0.71481  0.204651 0.19527 0.145654
1.26 0.713315  0.2024 0.19173 0.140274
1.27 0.711778  0.200122 0.188156 0.13486
1.28 0.710201  0.197817 0.184549 0.129415
1.29 0.708585  0.195486 0.18091 0.123939
1.3 0.706931  0.193129 0.17724 0.118434
1.31 0.70524  0.190747 0.17354 0.112901
1.32 0.703512  0.188341 0.16981 0.107342
1.33 0.701749  0.18591 0.166051 0.101758
